encuentro,tramo,perihelio,Rmin_Rsol,cobertura,n,dn,log10_B_1UA,dlog10_B_1UA,BR_r2_nT_UA2
1,acercamiento,2018-11-06T03,35.67,0.7367708333333334,-1.7432291395912292,0.05771557478541252,0.5361733179997654,0.03126450832317552,1.96215012309375
1,alejamiento,2018-11-06T03,35.67,0.8544270833333333,-1.8388024725205656,0.06417546741610179,0.5317546072741797,0.030401915948935633,2.106159800173611
2,acercamiento,2019-04-04T22,35.67,0.8058333333333333,-1.7382031779618603,0.06483512631059289,0.5667555109639034,0.034250218266770154,2.277379046284722
2,alejamiento,2019-04-04T22,35.67,0.5247743055555556,-1.862105005710139,0.10077658815134889,0.4967641674490703,0.053786101964387455,2.3710834846856255
3,acercamiento,2019-09-01T18,35.67,0.6407465277777777,-1.6820524641875776,0.07672597209822044,0.5978815562190661,0.04262386514927815,2.327421714072639
3,alejamiento,2019-09-01T18,35.67,0.6516493055555556,-1.7009963397258592,0.17305281037295028,0.6009493782325203,0.09386978719426843,2.3599958334299997
4,acercamiento,2020-01-29T09,27.87,0.5579340277777778,-1.8076712338382643,0.04121184754554525,0.5284747981251156,0.02773591309922336,2.1562860633680554
4,alejamiento,2020-01-29T09,27.87,0.8495486111111111,-1.6425188794349894,0.06069761729994694,0.5194850854362957,0.03043566383568997,1.6241273608307292
5,acercamiento,2020-06-07T08,27.87,0.77875,-1.6387094625142093,0.03759866651789153,0.5735794360691445,0.02163411243820839,1.7553629778243751
5,alejamiento,2020-06-07T08,27.87,0.6792534722222222,-1.5653628440667768,0.12925252738114248,0.5549209747315654,0.05204863533312816,1.2061140955366318
6,acercamiento,2020-09-27T09,20.34,0.96734375,-1.7523190610088284,0.05544396544086628,0.5217237844831587,0.03008295627372819,1.9024560396
6,alejamiento,2020-09-27T09,20.34,0.5975868055555555,-1.9117956681982793,0.04940084734245522,0.4754469927749316,0.0355362711633405,2.4883648483903125
7,acercamiento,2021-01-17T17,20.34,0.6459722222222222,-1.7635346771468916,0.051350906695789504,0.5910395786091879,0.034567761415802666,2.2511187984144096
7,alejamiento,2021-01-17T17,20.34,0.8297743055555555,-1.67249382882727,0.07135390277638777,0.5941701460651968,0.03530969685289832,1.8673415634375
8,acercamiento,2021-04-29T09,15.98,0.79109375,-1.7874493393983646,0.040570089053092694,0.5827466496902519,0.02786413361947105,2.1721867858159722
