anio,mes,anio_decimal,manchas
2018,1,2018.042,6.8
2018,2,2018.122,10.7
2018,3,2018.204,2.5
2018,4,2018.286,8.9
2018,5,2018.371,13.1
2018,6,2018.453,15.6
2018,7,2018.538,1.6
2018,8,2018.623,8.7
2018,9,2018.705,3.3
2018,10,2018.79,4.9
2018,11,2018.873,4.9
2018,12,2018.958,3.1
2019,1,2019.042,7.7
2019,2,2019.122,0.8
2019,3,2019.204,9.4
2019,4,2019.286,9.1
2019,5,2019.371,9.9
2019,6,2019.453,1.2
2019,7,2019.538,0.9
2019,8,2019.623,0.5
2019,9,2019.705,1.1
2019,10,2019.79,0.4
2019,11,2019.873,0.5
2019,12,2019.958,1.5
2020,1,2020.042,6.2
2020,2,2020.124,0.2
2020,3,2020.206,1.5
2020,4,2020.288,5.2
2020,5,2020.373,0.2
2020,6,2020.455,5.8
2020,7,2020.54,6.1
2020,8,2020.624,7.5
2020,9,2020.706,0.6
2020,10,2020.791,14.6
2020,11,2020.873,34.5
2020,12,2020.958,23.1
2021,1,2021.042,10.4
2021,2,2021.122,8.2
2021,3,2021.204,17.2
2021,4,2021.286,24.5
2021,5,2021.371,21.2
2021,6,2021.453,25.0
2021,7,2021.538,34.3
2021,8,2021.623,22.0
2021,9,2021.705,51.3
2021,10,2021.79,37.4
2021,11,2021.873,34.8
2021,12,2021.958,67.5
2022,1,2022.042,55.3
2022,2,2022.122,60.9
2022,3,2022.204,78.6
2022,4,2022.286,84.0
2022,5,2022.371,96.5
2022,6,2022.453,70.3
2022,7,2022.538,91.4
2022,8,2022.623,74.6
2022,9,2022.705,96.0
2022,10,2022.79,95.5
2022,11,2022.873,80.5
2022,12,2022.958,112.8
2023,1,2023.042,144.4
2023,2,2023.122,111.3
2023,3,2023.204,123.3
2023,4,2023.286,97.6
2023,5,2023.371,137.4
2023,6,2023.453,160.5
2023,7,2023.538,160.0
2023,8,2023.623,114.8
2023,9,2023.705,134.2
2023,10,2023.79,99.9
2023,11,2023.873,107.1
2023,12,2023.958,113.5
2024,1,2024.042,126.0
2024,2,2024.124,123.0
2024,3,2024.206,103.7
2024,4,2024.288,137.0
2024,5,2024.373,172.1
2024,6,2024.455,164.1
2024,7,2024.54,196.8
2024,8,2024.624,216.0
2024,9,2024.706,141.1
2024,10,2024.791,165.8
2024,11,2024.873,154.1
2024,12,2024.958,154.6
2025,1,2025.042,137.0
2025,2,2025.122,155.7
2025,3,2025.204,134.2
2025,4,2025.286,141.4
2025,5,2025.371,78.5
2025,6,2025.453,114.6
2025,7,2025.538,125.9
2025,8,2025.623,133.7
2025,9,2025.705,129.7
2025,10,2025.79,114.8
2025,11,2025.873,91.7
2025,12,2025.958,124.2
2026,1,2026.042,115.0
2026,2,2026.122,77.4
2026,3,2026.204,86.6
2026,4,2026.286,79.3
2026,5,2026.371,101.5
2026,6,2026.453,94.4
2026,7,2026.538,78.1
2026,8,2026.623,76.0
